x,u
0.000000, 0.000000
0.031416, 0.000000
0.062832, 0.000000
0.094248, 0.000000
0.125664, 0.000000
0.157080, 0.000000
0.188496, 0.000000
0.219911, 0.000000
0.251327, 0.001682
0.282743, -0.028212
0.314159, 0.190841
0.345575, -0.633261
0.376991, 0.889226
0.408407, 0.325249
0.439823, -2.093084
0.471239, 0.328615
0.502655, 2.678837
0.534071, 0.257138
0.565487, -2.161195
0.596903, -1.597218
0.628319, -0.074731
0.659734, 0.749372
0.691150, 0.968425
0.722566, 0.998318
0.753982, 0.998318
0.785398, 1.028212
0.816814, 0.809159
0.848230, 1.633261
0.879646, 0.110774
0.911062, 0.674751
0.942478, 3.093084
0.973894, 0.671385
1.005310, -1.678837
1.036726, 0.742862
1.068142, 3.161195
1.099557, 2.597218
1.130973, 1.074731
1.162389, 0.250628
1.193805, 0.031575
1.225221, 0.001682
1.256637, 0.000000
1.288053, 0.000000
1.319469, 0.000000
1.350885, 0.000000
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
