x,u
0.000000, 0.005718
0.031416, 0.012213
0.062832, 0.024591
0.094248, 0.046613
0.125664, 0.083064
0.157080, 0.138982
0.188496, 0.218147
0.219911, 0.321062
0.251327, 0.443201
0.282743, 0.574631
0.314159, 0.701813
0.345575, 0.811379
0.376991, 0.894346
0.408407, 0.948599
0.439823, 0.978308
0.471239, 0.990772
0.502655, 0.992649
0.534071, 0.987522
0.565487, 0.975387
0.596903, 0.953387
0.628319, 0.916936
0.659734, 0.861018
0.691150, 0.781853
0.722566, 0.678938
0.753982, 0.556797
0.785398, 0.425363
0.816814, 0.298169
0.848230, 0.188565
0.879646, 0.105497
0.911062, 0.050984
0.942478, 0.020636
0.973894, 0.006701
1.005310, 0.001634
1.036726, 0.000265
1.068142, 0.000022
1.099557, 0.000000
1.130973, 0.000000
1.162389, 0.000000
1.193805, 0.000000
1.225221, 0.000000
1.256637, 0.000000
1.288053, 0.000000
1.319469, 0.000000
1.350885, 0.000000
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000001
2.890265, 0.000002
2.921681, 0.000007
2.953097, 0.000023
2.984513, 0.000066
3.015929, 0.000183
3.047345, 0.000482
3.078761, 0.001203
3.110177, 0.002846
