x,u
0.000000, -0.003279
0.031416, 0.010515
0.062832, -0.016533
0.094248, 0.008954
0.125664, 0.030743
0.157080, -0.025138
0.188496, -0.044851
0.219911, 0.043317
0.251327, 0.016860
0.282743, -0.017482
0.314159, -0.047763
0.345575, 0.050130
0.376991, 0.068173
0.408407, -0.076758
0.439823, -0.063484
0.471239, 0.079569
0.502655, 0.047049
0.534071, -0.068234
0.565487, -0.032688
0.596903, 0.054761
0.628319, 0.026983
0.659734, -0.044936
0.691150, -0.030133
0.722566, 0.037884
0.753982, 0.037884
0.785398, -0.027322
0.816814, -0.042124
0.848230, 0.002731
0.879646, 0.030508
0.911062, 0.048036
0.942478, 0.012489
0.973894, -0.130030
1.005310, -0.097510
1.036726, 0.218756
1.068142, 0.205481
1.099557, -0.221300
1.130973, -0.239342
1.162389, -0.031294
1.193805, -0.001012
1.225221, 0.475298
1.256637, 0.501755
1.288053, 1.005452
1.319469, 1.025164
1.350885, 0.950597
1.382301, 0.928808
1.413717, 1.001629
1.445133, 1.028678
1.476549, 1.076957
1.507964, 1.053741
1.539380, 0.838964
1.570796, 0.843740
1.602212, 1.157585
1.633628, 1.181616
1.665044, 1.101368
1.696460, 1.069535
1.727876, 0.450680
1.759292, 0.419252
1.790708, 0.064611
1.822124, 0.058150
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.006461
2.827433, -0.007179
2.858849, 0.024249
2.890265, -0.025259
2.921681, 0.006573
2.953097, -0.003458
2.984513, -0.027488
3.015929, 0.027093
3.047345, 0.022317
3.078761, -0.026496
3.110177, -0.003279
