x,u
0.000000, 0.031750
0.031416, 0.069667
0.062832, 0.069667
0.094248, 0.138626
0.125664, 0.138626
0.157080, 0.248892
0.188496, 0.248892
0.219911, 0.401430
0.251327, 0.401430
0.282743, 0.579980
0.314159, 0.579980
0.345575, 0.750955
0.376991, 0.750955
0.408407, 0.876541
0.439823, 0.876541
0.471239, 0.934218
0.502655, 0.934218
0.534071, 0.924977
0.565487, 0.924977
0.596903, 0.861327
0.628319, 0.861327
0.659734, 0.750937
0.691150, 0.750937
0.722566, 0.598002
0.753982, 0.598002
0.785398, 0.418263
0.816814, 0.418263
0.848230, 0.244027
0.879646, 0.244027
0.911062, 0.110270
0.942478, 0.110270
0.973894, 0.034028
1.005310, 0.034028
1.036726, 0.005343
1.068142, 0.005343
1.099557, 0.000000
1.130973, 0.000000
1.162389, 0.000000
1.193805, 0.000000
1.225221, 0.000000
1.256637, 0.000000
1.288053, 0.000000
1.319469, 0.000000
1.350885, 0.000000
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000001
2.544690, 0.000001
2.576106, 0.000003
2.607522, 0.000003
2.638938, 0.000012
2.670354, 0.000012
2.701770, 0.000048
2.733186, 0.000048
2.764602, 0.000170
2.796017, 0.000170
2.827433, 0.000568
2.858849, 0.000568
2.890265, 0.001756
2.921681, 0.001756
2.953097, 0.005018
2.984513, 0.005018
3.015929, 0.013189
3.047345, 0.013189
3.078761, 0.031750
3.110177, 0.031750
